id,topic,difficulty,question,option_a,option_b,option_c,option_d,answer,explanation
7703,Artificial Intelligence,hard,Which approach makes decisions based on maximizing expected utility?,Heuristic AI,Utility-based agents,Greedy approach,Model-free agent,b,Utility-based agents aim to maximize expected utility outcomes.
7704,SQL,medium,Which join returns all records from both tables?,Inner Join,Outer Join,Left Join,Self Join,b,Full Outer Join shows all records even non-matching.
7705,SQL,hard,Which isolation level prevents dirty reads but allows non-repeatable reads?,READ UNCOMMITTED,READ COMMITTED,REPEATABLE READ,SERIALIZABLE,b,READ COMMITTED avoids dirty reads but not non-repeatable reads.
7706,Cloud Computing,hard,Which service eliminates server management?,IaaS,PaaS,Serverless,FaaS,c,"Serverless abstracts infrastructure, running code on demand events."
7707,Python,hard,What is the purpose of the `__slots__` attribute in a class?,To prevent the creation of new attributes in an object at runtime,To define the variables of an object,To improve the performance of a class by telling Python not to create a `__dict__` for each instance,To specify the order of attributes in a class,c,"The `__slots__` attribute is a performance optimization used to tell Python not to use a `__dict__` to store instance attributes. This can significantly reduce the memory footprint of objects, especially when creating a large number of them."
7708,Data Structures,hard,Which sorting algorithm has a worst-case time complexity of O(n^2) but is generally faster on small arrays and nearly sorted data?,Quick Sort,Merge Sort,Insertion Sort,Bubble Sort,c,"Insertion Sort has a worst-case time complexity of O(n^2), but it is very efficient on small datasets or when the data is nearly sorted because it performs fewer comparisons and swaps."
7709,Software Engineering,hard,What is 'technical debt'?,Money owed to a software vendor,The cost of developing new features,The future cost of additional work incurred by choosing an easy but limited solution now instead of a better but more difficult one,The cost of software maintenance,c,"Technical debt is a concept in software development that reflects the implied cost of additional rework caused by choosing a less-than-ideal solution or shortcut instead of a better, more robust approach. It's like taking a loan out on future development time."
7710,SQL,hard,Which isolation level prevents dirty reads but allows non-repeatable reads?,READ UNCOMMITTED,READ COMMITTED,REPEATABLE READ,SERIALIZABLE,b,READ COMMITTED avoids dirty reads but not non-repeatable reads.
7711,Deep Learning,hard,What is gradient vanishing?,When gradients disappear,When weights get bigger,Performance increases,Memory shrinks,a,Vanishing gradients make training deep networks difficult.
7712,Operating Systems,hard,Which scheduling is best for real-time systems?,Round Robin,First-Come-First-Serve,Priority Scheduling,Rate Monotonic Scheduling,d,Rate Monotonic Scheduling is widely used for hard real-time tasks.
7713,Data Structures,easy,Which data structure is best for storing a dictionary where elements are not ordered?,List,Tuple,Set,Dictionary,d,"A dictionary (or hash map) is an unordered collection of key-value pairs. It provides fast lookup, insertion, and deletion of elements by key."
7714,Networking,medium,What is TCP (Transmission Control Protocol) primarily known for?,Being a connectionless protocol,"Providing a reliable, connection-oriented service",Being a fast but unreliable protocol,Used for broadcasting data,b,TCP is a connection-oriented protocol that ensures the reliable delivery of data by establishing a connection and using acknowledgements to guarantee that all packets arrive in the correct order.
7715,Python,easy,Which type does `input()` return in Python3?,int,float,str,bool,c,input() always returns a string by default.
7716,Algorithms,hard,"What is a Turing machine"" in the context of algorithms?""",A physical computer,A theoretical model of computation,A type of sorting algorithm,A type of data structure,b,A Turing machine is a mathematical model of computation that defines an abstract machine that manipulates symbols on a strip of tape according to a table of rules. It is a theoretical foundation for what can be computed by an algorithm.
7717,Machine Learning,medium,Which evaluation metric is best for imbalanced classification problems?,Accuracy,Precision-Recall Curve,F1-Score,Mean Squared Error,c,"In imbalanced datasets, F1-score (harmonic mean of precision and recall) gives a better measure of performance than accuracy."
7718,Data Science,hard,What is curse of dimensionality?,Too few samples,Too clean data,Performance degradation with too many features,Model bias,c,Increasing dimensions makes models less effective due to sparse data.
7719,Data Structures,medium,Which traversal is used in expression trees for postfix expression?,Preorder,Inorder,Postorder,Level Order,c,Postorder traversal gives postfix expression.
7720,Operating Systems,medium,What is the main purpose of paging in memory management?,To increase CPU speed,To divide memory into equal fixed-size blocks,To reduce disk access,To optimize CPU cache,b,"Paging divides memory into equal fixed-size pages, simplifying memory allocation while avoiding external fragmentation."
7721,Machine Learning,easy,What is the primary goal of supervised learning?,To cluster similar data points,To predict a target variable from labeled data,To reduce the dimensionality of data,To find hidden patterns in data,b,"Supervised learning uses a training dataset with labeled output to learn a mapping from inputs to the output. The goal is to predict the target variable for new, unseen data."
7722,Computer Networks,hard,What is the 'three-way handshake' and what protocol uses it?,It's a security protocol; UDP,It's a way to encrypt data; SSH,It's a connection establishment process; TCP,It's a way to discover new devices; IP,c,"The three-way handshake is a process used by the TCP protocol to establish a connection between a client and a server. It involves three steps: SYN, SYN-ACK, and ACK, to ensure both parties are ready to transmit and receive data."
